a	the
együttműködés	cooperation
változik	change
tanulmány	study
felül	top
földön	ground
napra	day
adtak	sold
számtalan	countless
pénteken	Friday
szavakat	words
interneten	online
közelebb	closer
végzi	performs
lennének	would
szolgáltató	Service
földi	ground
szexuális	sexual
emiatt	therefore,
ifjúsági	juvenile
értékben	worth
tették	They were
források	Resources
kérni	ask
nyelvet	Language
Katalin	Katalin
vesznek	in
osztály	class
minimum	minimum
hibát	failure
esemény	event
mód	mode
plusz	plus
érzés	feeling
szánt	destined
stratégiai	strategic
hozzánk	to us
csatlakozás	join
érkező	arriving
számukra	them
rend	order
valakit	someone
feltétele	condition
határozat	resolution
dönt	decide
parlamenti	parliamentary
készülék	device
rendes	normal
döntő	finals
alapuló	on
magyarul	in Hungarian
ezeknek	these
látogatták	visits
épül	builds
várt	expected
emberiség	humanity
déli	south
változat	version
lát	see
ugyanolyan	same kind
oldalról	sides
tetején	on top
ősi	ancient
okozta	caused
felel	meet
fórumban	Forum
feladatot	task
kezdő	beginner
értékes	valuable
nehogy	lest
sehol	anywhere
olvassa	Read
cigány	Gypsy
hőst	hero
erő	power
szoros	tight
feletti	above
javaslatot	proposal
annak	to
szél	wind
országgyűlési	parliamentary
származik	originate
irányuló	to
vörös	red
korában	era
megjelenése	appearance
jelszót	password
értékek	Values
fut	run
módszerek	Methods
jelennek	appear
szét	apart
egyértelmű	clear
iskolák	schools
lányok	Girls
területek	Areas
írásban	in writing
véleményem	in my opinion,
sokan	many people
tekinthető	It is considered
igazgató	director
regisztrálva	registered
támogatása	Support
nemzet	nation
iskolában	school
olvas	read
vonatkozóan	on
tevékenységét	activities
vállalkozás	undertaking
vallási	religious
mindegyik	all
igényel	demand
profi	professional
mentén	along
vállalatok	Companies
megszokott	routine
vállalati	business
forrás	source
helyén	place
letölthető	download
helyszínen	the site
rendező	director
halála	death
energia	power
készíteni	create
ellátott	with
kutatás	research
nyerte	won
hatással	effect
módja	Method
Orbán	Orban
köszi	Thanks
Kossuth	Kossuth
honlap	Website
jogtulajdonos	Assignee
régóta	long since
nektek	you
dollár	dollar
művészeti	artistic
lényegesen	significantly
vettek	They were
közgyűlés	general meeting
hangsúly	emphasis
éri	reach
alaposan	thoroughly
sárga	yellow
honlapon	home
érdekes	interesting
föld	ground
előírt	prescribed
úgyis	anyway
amilyen	as
elért	achieved
résztvevők	participants
ritka	rare
órás	hours
tanuló	learner
vállalkozás	undertaking
kér	ask
kívüli	than
forma	shape
hír	news
szerep	role
országokban	countries
nevezett	said
mondták	They said
hibás	false
elemek	Items
tartalmának	contents
lehetőségeket	options
lehetetlen	impossible
századi	Century
esti	evening
képzési	Training
kezében	hands
tulajdonosa	owner
leírás	description
gyártó	manufacturer
célszerű	expedient
tudták	could
legszebb	the most beautiful
fórumon	forum
konferencia	conference
egyfajta	a kind
bíró	judge
jelentett	meant
szerepelnek	included
alapon	background
mára	today
szeretettel	love
várom	look forward
vették	taken
eredményeket	results
előnnyel	benefits
részén	section
szín	color
tettek	they
rád	Me
önkormányzat	local government
amint	as
felvételi	Shooting
közigazgatási	administrative
kérdéseket	issues
kérjük	please
izgalmas	exciting
üzenetek	Posts
támogatási	grant
hiányában	In the absence of
legutóbbi	last
szavak	words
pályán	pitch
kiválasztott	selected
mindez	all
arany	gold
eltároltuk	We have stored
kár	damage
maximális	maximum
mostanában	recently
öröm	pleasure
eredményeként	As a result of
könnyebb	lighter
húsz	twenty
írásos	Written
akció	action
végleges	definitive
tényleges	actual
cím	title
királyi	royal
köszönjük	Thank you
küldeni	sent
használ	use
kattint	click
siker	success
felsőoktatási	Higher Education
szint	level
ötlet	idea
nagyszerű	magnificent
áfa	the tree
bemutató	premiere
emelkedett	increased
látjuk	We see
szocialista	socialist
azért	therefore
használatát	use
megelőző	prophylactic
jöttek	come
feleség	wife
legkisebb	least
valóságos	real
éppen	just
Hungária	Hungaria
módosító	amending
vezette	headed
olcsó	cheap
vizsga	examination
várják	expected
önnek	for you
rendezvény	event
határozott	definite
hülye	stupid
állapot	status
területeken	areas
költségek	expenditures
semmiféle	no
környékén	area
határon	border
sima	smooth
kiadó	publisher
állítólag	supposedly
első	first
eljárást	procedures
kommunikáció	Communication
siker	success
távol	away
hol	where
követi	follow
ábra	figure
belépés	entry
technológiai	Technology
kutató	researcher
tesznek	they
szigorú	strict
induló	march
választás	choice
köztársaság	republic
működik	work
folyamat	process
oldal	page
fogunk	we'll
néző	viewer
lépni	move
kénytelen	forced
közben	during
költségvetés	budget
piacra	market
média	media
mindezt	all
kérem	please
hétfőn	Monday
valóság	reality
számon	No.
köze	close
legfrissebb	Latest
mennyiségű	volume
világháború	World War II
pálya	court
átfogó	comprehensive
honnan	from
létező	existing
hozzájuk	to them
üzenetet	a message
tudom	I know
adatai	Details
megoldani	solve
szeret	love
próbálja	try
kezdeni	start with
nemi	some
engedély	license
elég	enough
nép	people
válogatott	selected
dolgoznak	working
havonta	per month
beépített	built-in
biztonságos	safe
spanyol	Spanish
összeget	sum
tanulni	learn
kérte	asked
képviselője	The representative
akkora	size
hittem	thought
teljesítmény	performance
építési	building
gondolok	I think
standard	standard
időn	time
kora	early
valami	something
színű	colors
informatikai	IT
hallgatói	students
fokozatosan	gradually
indított	launched
ilyenkor	When such
hozzám	to me
történeti	historical
sikeresen	successfully
tárgy	subject
hangja	voice
pályázatok	Applications
tudtak	could
pusztán	merely
és	and
akarják	they want
beleértve	including
gazdája	owner
épülő	based
vélemények	Reviews
egyszer	once
megyében	County
gáz	gas
sport	sports
kérdezte	he asked
pedagógiai	pedagogical
fejlett	developed
fős	people
vidéki	rural
hátha	haha
ugyanazt	the same
téli	winter
főváros	capital
programban	program
épített	built
szabott	customized
támogatásával	supported by
jelentkezik	occurs
rádió	radio
virtuális	Virtual
bonyolult	complex
sajtó	press
versenyt	competition
fogadta	accepted
szerdán	Wednesday
tartós	durable
érhető	available
nemrég	recently
album	album
technika	technique
északi	north
szabályozás	regulation
lassú	slow
adatbázis	data base
mennek	go
találhatók	found
senkit	anyone
csomag	package
jogokat	rights
biztosítása	Ensuring
szolgálja	serving
testi	physical
egyesület	association
kedden	Tuesday
minimális	minimum
testület	body
egyenesen	straight
jelölt	candidate
lengyel	Polish
gyorsabb	Faster
pápa	pope
eredetű	surname
összege	The amount
mutatják	show
mutatott	shown
joggal	right
elem	element
szöveget	text
készítette	created
eleve	a priori
írás	writing
kellő	due
kezelés	treatment
szakma	profession
roma	Romany
gyakorlatban	in practice
komplex	complex
levélben	letter
felől	From
egyedülálló	single
kialakított	with
válaszolt	reply
csoda	wonder
szóba	room
ajánljuk	We recommend
következett	occurred
filmek	Movies
alapul	Based on
kerületi	circumferential
gondot	trouble
ideális	ideal
forgalom	traffic
tekintetben	respect,
lettem	I
később	later
tanulmányi	study
forradalom	revolution
számban	numbers
jelenség	phenomenon
szoktam	I used to
dolgozók	staff
felében	half
vagyis	that is,
folyamatban	in progress
összefüggő	connected
csinál	do
tapasztalatok	Experience
órán	hours
mérték	measurement
ahhoz	thereto
vizsgálat	investigation
létrehozott	created
tisztában	clear
telefon	phone
múlik	pass
héttel	weeks
meghalt	died
mellette	next to
amiért	for
személyre	personalized
manapság	these days
kézzel	by hand
fontosnak	important
hatását	effect
kártya	card
gondolat	thought
címét	address
vallás	religion
szobás	Bedroom
válaszolni	answer
elsődleges	primary
SZDSZ	SZDSZ
irányba	direction
nézett	looking
fővárosi	metropolitan
process	process
szabadság	freedom
hívják	called
szokás	custom
szerencsére	fortunately
elsőként	first
párhuzamosan	parallel
kilenc	nine
stb	etc.
külföldön	abroad
ablak	window
országgyűlés	parliament
minek	what for
szar	shit
részében	section
növekvő	growing
szűk	narrow
fogjuk	We will
hívja	calling
helyére	place
lapot	sheet
államok	States
értéket	value
formája	shape
lépés	step
provides	provides
megváltozott	changed
legyen	whether
Németh	Nemeth
éjjel	night
hangot	voice
levegő	air
előadást	performance
végtelen	endless
szövetség	covenant
tájékoztatást	information
ennyit	so much
mindenütt	everywhere
nagyjából	roughly
kitűnő	excellent
mégpedig	namely
szeme	eyes
egymáshoz	together
művészet	art
közgyűlés	general meeting
szervek	agencies
library	library
tartották	held
színház	theater
tevékenysége	activities
ugyanis	namely
vajon	whether
telt	full
olyanok	others
féle	kind of
egyenlő	equal
igyekszik	tries
múzeum	museum
keletkezett	generated
ben	in
gyorsabban	faster
jelentkező	candidates
egymásra	each other
bármelyik	either
hajó	ship
részletesen	in detail
jogszabály	laws
Árpád	Árpád
access	access
embereknek	People
fiúk	Boys
jelentősége	Importance
hátrányos	disadvantaged
several	Several
örülök	I am glad
szerezni	gain
ismerem	I know
költő	poet
hivatalosan	officially
utcán	street
fölé	above
globális	global
stabil	stabile
bizonyult	proved
mértékű	degree
mindjárt	anon
lényegében	essentially
bank	bank
hónapos	month
tettem	I have
interface	interface
srác	tad
akarjuk	To
kapunk	we get
egyéb	other
alkotó	creative
választani	choose
amiről	what
meghatározása	Determination
régió	region
kiadás	expenditure
indokolt	justifiable
mindenesetre	in any event
mire	what
bei	bei
kód	code
nyilvánosságra	published
illető	respective
hogyha	that if
foglalkozni	deal
percig	minutes
művész	artist
berendezések	facilities
web	web
hallani	hear
gondolod	think
fogadja	accept
jol	well
szomszédos	neighbor
szomorú	sad
segítő	helper
programokat	programs
addig	before
ifjú	youngster
emellett	besides
kérdésekre	questions
rejtett	hidden
kedvéért	for the sake of
állítani	set
míg	while
távon	run
akarunk	We want to
hétvégén	weekend
antal	Antal
helyzete	The situation
könyvek	Books
back	back
beállítása	Setting up
régebbi	older
hátra	back
olvasó	reading
integrált	integrated
szembe	eyes
távú	-term
para	cork
központ	center
ötödik	fifth
vicc	joke
gazdasági	economic
gépet	machine
válnak	become
első	first
írd	Write
változtatni	to change
különösen	in particular
közti	between
sie	sie
fórumot	forum
általános	general
csütörtökön	Thursday
small	small
jók	good
azóta	ever since
túli	beyond
mekkora	what
hagyja	leave
könnyedén	with ease
semmi	nothing
wap	wap
mozgalom	movement
example	example
nach	nach
mail	mail
koncert	concert
kezelni	handle
abban	therein
fejezet	chapter
találtak	found
igencsak	pretty
meglepő	surprising
száraz	dry
tartalmi	content
kijelölt	assigned
magától	self
wir	wir
latin	Latin
egyidejűleg	simultaneously
torta	cake
kis	little
hangzik	sound
change	change
kezdtem	I started
írok	I am writing
döntést	decision
várnak	expect
ahonnan	from where
példát	examples
tulajdonos	owner
intézményi	institutional
inkább	rather
senkinek	anyone
kosár	basket
bármi	whatever
kifejezés	phrase
kezét	hands
javasolt	recommended
összesen	all
máshol	elsewhere
port	port
életének	life
igényes	demanding
nyitva	open
csapatok	troops
forró	hot
biológiai	biological
hivatal	office
böngészi	online
varga	cobbler
kapcsolódik	connected
dokumentumok	Documents
tárgyak	items
kint	outdoors
számában	issue
bruttó	gross
utcában	on the street
endre	endre
ugrás	jump
alkalmával	occasion
hatást	effect
magazin	magazine
küldd	Send
szakember	expert
kicsit	a bit
részletek	details
részvétel	participation
fekszik	lying
járnak	act
felhasználókat	users
színházi	theatrical
világszerte	worldwide
klub	club
terjed	spread
összhangban	In accordance with
vendégek	Guests
alakú	shape
százalékát	percent
given	given
tanárok	teachers
olykor	Sometimes
akivel	I've
ifjúsági	juvenile
olyat	anything
csendes	quiet
területet	area
erőt	power
hetente	weekly
megjelent	published
szovjet	Soviet
püspök	bishop
törvényben	Law
demokratikus	democratic
tőlük	them
amelyre	which
jel	sign
átmeneti	transition
villamos	electrical
fordított	reverse
illik	match
tárca	wallet
jegy	ticket
hagyta	leaving
molnár	miller
műsor	show
high	high
felesleges	unnecessary
kiadása	release
hamarabb	sooner
rendszere	System
rosszabb	worse
gyakori	frequent
ingatlan	property
jogát	right
találta	found
nap	day
ellenőrzés	check
halálos	deadly
politikus	politician
ismerik	known
perces	minute
fekvő	lying
gondolkodás	thinking
közzé	published
adták	sold
java	java
igazából	actually
reggeli	morning
megoldások	Solutions
noha	although
forduló	turn
állást	job
autót	car
általuk	they
készítése	Create
nyugodt	calm
erdélyi	Transylvania
túlságosan	too
bek	§
állami	state
tilos	prohibited
eladó	seller
feb	feb
egészében	whole
tartalmaznak	contains
Szeged	Szeged
unalmas	boring
egyik	one
számok	Numbers
magunk	ourselves
egyház	church
vesszük	We
növekedés	growth
hova	where
emellett	besides
felsorolt	listed
egyúttal	at the same time
bácsi	Uncle
utazás	travel
tudományos	scientific
látják	see
isten	God
színész	actor
határidő	deadline
bűn	sin
valamivel	slightly
célú	Purpose
érthető	understandable
normál	normal
akarod	you want
lehetőleg	if possible
művészi	artistic
csapata	The team
tőlem	me
jelentkezett	signed
megvalósítása	implementation
egészet	all
szeretnél	you would
érezte	feeling
elismert	acknowledged
törvények	laws
mért	measured
durva	rough
kaptál	you got
megrendezésre	place
névre	the name
szerettem	I
mélyen	deep
apja	his father
folyt	cont
találunk	found
keresett	sought
anyagokat	materials
szélesebb	wider
klub	club
szemét	garbage
csökkenti	decreases
tel	tel
tegnapi	yesterday
bekezdésében	Regulation
cseh	Czech
csakis	only
tanult	learned
special	Special
kapja	receive
ülésén	session
színház	theater
jártam	I
tanács	advice
kis	little
házban	house
órától	am
szerencsére	fortunately
szerv	organ
szert	gain
kéri	asks
futó	runner
istennek	god
rajtuk	them
idősebb	elder
hete	Hey you
találták	found
tartalmát	contents
délelőtt	before noon
bizonyára	surely
mögé	behind
írj	Contact
ahová	where
számának	number
képviselők	MPs
kelt	cause
azokkal	with
hazánk	Hungary
hamis	false
vér	blood
tegye	do
érinti	affect
műanyag	plastic
vezeti	leads
terméket	product
kezelése	Treatment
können	können
fejlesztők	Developers
amíg	until
pályázó	applicant
elvileg	in principle
növények	plants
munkák	Jobs
közepes	medium
szolgáltatásokat	services
problémád	problems
kérek	me
korban	Ages
gyári	manufacturing
nemes	noble
feltételeket	conditions
vállalkozó	entrepreneur
sokféle	a wide variety of
oldalakon	sites
minisztérium	ministry
bennük	they
mind	all
teszt	test
bemutatott	featured
azonnali	instant
témához	topic
alkalmazható	applicable
okok	reasons
bekezdésben	paragraphs
alapos	thorough
őszi	autumn
eszközöket	tools
tök	pumpkin
hatóság	authority
igaza	right
munkatársai	staff
típus	type
Medgyessy	Medgyessy
várni	wait
véleményt	review
pap	priest
támogatott	supported
hölgy	lady
pártok	parties
bármit	whatever
beszélgetés	conversation
mentem	I went to
felújított	reconditioned
jellemzi	characterized by
helyesen	correctly
mester	master
tűz	fire
szoftvert	Software
Jézus	Jesus
látványos	spectacular
elengedhetetlen	indispensable
baráti	friendly
találja	finds
újat	new one
Judit	Judit
időnként	sometimes
végző	performing
választások	elections
arányban	ratio
beruházás	investment
vagyon	property
mindenhol	everywhere
szempont	viewpoint
minőség	quality
versenyen	Competition
összefüggésben	context
cikket	article
otthoni	home
bemutatása	Presentation
létrehozása	Create
tavaszi	spring
anya	maternal
pontosabban	accurately
por	powder
programs	programs
beszélve	mention
érdemes	worth
másodközlése	republished
közülük	them
ettől	from
újból	again
national	National
teve	camel
legtöbbször	most
célok	Goals
éjszakai	night
linkre	link
főbb	The main
közelmúltban	Recently,
kht.	kht.
készülő	upcoming
vállalt	undertaken
diák	student
kerülhet	reach
kerülni	Avoid
nyár	summer
jogszabályok	laws
legközelebb	next time
készültek	made
funkció	function
ereje	power
amin	amines
országot	country
röviden	short
Széchenyi	Széchenyi
általunk	Our
bátran	bravely
research	research
come	come
mérkőzés	match
családok	family
újság	newspaper
beszéd	speech
ellene	against
számos	several
ellátás	supply
hangsúlyozta	He stressed
mutatta	revealed
einem	einem
másikat	other
erővel	forcibly
csomó	bunch
szerves	organic
hihetetlen	incredible
résztvevő	participant
táblázat	table
stratégia	strategy
alkalmazások	Applications
önkéntes	voluntary
kocsi	car
mindkét	both
kizárólagos	exclusive
percben	in minutes
forgalomba	circulation
keveset	little
hetes	week
alapító	founder
olcsóbb	cheaper
térkép	map
hatósági	official
káros	harmful
ilyesmi	anything
mer	mer
erősebb	stronger
rögzített	fixed
ezenkívül	Besides that
jegyében	spirit
web	web
varázslatot	spell
utána	after
gondolta	thought
SMS	SMS
éles	sharp
vers	verse
valamikor	sometime
dal	song
melletti	next
támogató	supporting
édes	sweet
későbbiekben	subsequently
dolga	do
másképp	otherwise
hatás	effect
nyújtani	submitted
átlagosan	on average,
módosított	modified
megadni	given
képen	image
tényleg	really
vékony	thin
honlapján	website
teljesen	completely
anyanyelvű	mother tongue
eszközökkel	tools
harc	fight
okból	from
alkalmából	on the occasion of
eredményes	successful
köszi	Thanks
mégis	yet
szlovák	Slovak
jöhet	come
állította	claimed
végezni	perform
tartalom	content
szerzők	authors
használatával	Using
találkozó	appointment
ajtó	door
betegségek	Diseases
illő	volatile
álltak	They were
keresi	looking
hal	fish
hozzászólására	post of
lefelé	down
szex	sex
fantasztikus	fantastic
mondható	cancellable
nyomtatott	printed
tartjuk	We
csatorna	channel
történetét	history
szak	vocational
uralkodó	ruling
tényező	factor
nyilatkozta	said
teli	full
leggyakoribb	top
élmény	experience
megnézni	watch
megtörtént	has been
irányban	location
teret	space
arany	gold
irányár	target price
oktatási	Education
támadással	attack
debreceni	Debrecen
mutató	indicator
egymásnak	each other
leírt	described
működése	operations
újonnan	newly
mindenesetre	in any event
adhat	You can
biztos	commissioner
létrehozni	Create
felek	parties
kar	arm
egyenes	straight
szólva	Speaking
község	township
szinte	almost
social	social
zajlik	take place
hősöd	hero
szorosan	close
könyvtár	library
mondjuk	say,
másként	otherwise
felhasználható	usable
tapasztalat	experience
foglaltak	reservation
védelmi	defensive
nehezebb	heavier
ünnepi	gala
tehet	talent
igazad	right
professzor	Professor
elfogadta	accepted
szigorúan	severely
bizonyítja	proves
honlapja	Website
köszönhető	due
jutnak	reach
részének	section
népi	folk
egyre	ever
jobbra	right
szakértők	experts
vezetésével	leadership
feje	section
szakértői	Expert
fogalma	The concept
szeretett	beloved
könyve	book
eredményei	Results
nevelés	education
találsz	find
mailben	Email
okos	clever
DVD	DVD
tartunk	We are
képezi	is
zene	music
irányába	towards
harminc	thirty
angolul	English
leveleket	leaves
iroda	office
vezetők	Leaders
magyarság	Hungarians
fogsz	are you going
van	there is
konyha	kitchen
ülés	seat
tisztelt	respected
kutatások	Research
könyv	book
melyen	where
választotta	selected
tisztán	clear
gyakorlat	practice
folytatni	continue
rövidebb	shorter
értünk	us
vehető	available
fizetési	payments
terem	hall
használnak	used
önmagát	oneself
érzelmi	emotional
magához	himself
portál	portal
dollárt	dollars
jellegzetes	characteristic
előtt	before
központi	central
bőr	skin
viszonyok	relations
hagyott	leaving
tartottak	held
demokrácia	democracy
keresés	search
esetek	Cases
akad	there
tekinti	consider
váltak	become
állapota	status
nettó	net
játékok	Games
halad	proceed
állni	Availability
azokra	apply
ezekkel	these
követte	followed by
problémákat	issues
szerkesztőség	editorial
kritikus	critical
középkori	medieval
jutottak	reached
felszerelt	equipped
gépen	machine
hiteles	authentic
értékét	value
valószínű	likely
linkek	Links
egyes	single
kötelezettség	commitment
öröm	pleasure
jutni	reach
orvosok	Doctors
működnek	work
igények	needs
befolyásolja	affect
hónapja	Month
rendőr	police officer
leszel	you'll
értelmes	intelligent
gondolom	I think
szolgálat	service
maradtak	stayed
vállalja	agree
helyzetbe	position
valamiféle	some kind
barna	brown
vállalunk	We are
jelek	Signs
támogatások	grants
rendszerint	usually
hagyni	leave
védelme	Protection
előadások	performances
kezdeti	initial
sebezve	sebezve
külön	separately
bír	have
ötven	fifty
helyzetét	situation
biztosítási	Insurance
csak	only
akadémia	academy
valóban	really
könnyebben	easier
növeli	increases
szabályokat	rules
követ	follow
szerinte	according to him
soron	line
Petőfi	Petofi
felhasználóknak	Users
távközlési	Telecommunications
néztem	I looked
aláírás	signature
érdekelt	interested
korlátozott	limited
Jenő	Jeno
férje	husband
Anna	Anna
földrajzi	geographical
felmérés	survey
testét	body
vezetése	leadership
létrejött	created
forgalmi	Traffic
felmerült	arisen
nevezte	called
csengőhang	ringtones
felsőfokú	superlative
pillanat	moment
készülnek	made
néha	sometimes
témája	Topic
kulturális	cultural
vastag	thick
parancsot	command
kényelmes	comfortable
PHP	PHP
BBCode	BBCode
érdeklődés	interest
név	name
bizonnyal	certainly
elhelyezett	placed
elfogadja	accepts
elsősorban	primarily
mondat	sentence
ügyében	case
feltételeit	terms and conditions
simán	smooth
hasonlít	similar
tömeg	mass
szeretnének	looking
csoportba	groups
gomb	orb
idős	elderly
ketten	two of them
járni	walk
napok	Days
tekinteni	considered
összetett	complex
különbséget	difference
üzeneteket	messages
szegedi	Szeged
ugyanazon	the same
interneten	online
önállóan	own
hangulat	mood
béke	peace
kategória	category
árt	hurt
jelentés	report
pályára	careers
ide	here
pontok	Points
feltételei	Conditions
mesterséges	artificial
készen	ready
álláspontját	views
esélye	chance
fogyasztói	consumer
kijelentette	said
adatot	data
jelentő	reporting
results	results
dolláros	dollar
elküldjük	sent
zavar	confusion
alkotott	created
mintha	as if
vegye	Remove
vegyes	mixed
földre	down
tagjainak	members
iroda	office
eltelt	passed
üzlet	business
legendás	legendary
adunk	added
késő	late
egyén	individual
vinni	bring
főiskolai	college
maradnak	stay
szabvány	standard
vezetés	driving
kér	ask
szerencsés	fortunate
bor	wine
versenyző	competitor
átlag	average
szombat	Saturday
használjuk	Use
leszünk	We will be
fogod	You will
szintjén	level
szeretnek	love
tanulás	learning
politikusok	politicians
tükrözik	reflect
szenvedett	suffered
statisztikai	statistical
kerület	district
közölt	published
keresünk	We are looking for
gyere	come on
birtokában	possession
halott	dead
köt	bind
szürke	gray
elindult	started
iskola	school
megyünk	We're going
igenis	indeed
Ágnes	Agnes
módosítása	Change
ellenében	against
okozhat	cause
mit	what
ezekben	these
tárgyi	material
ült	sat
támogatására	support
eljárások	procedures
látták	Seen
parlament	parliament
nézzük	let's
megtalálja	find
kísérleti	experimental
helyeken	places
kereső	finder
tudod	You can
másnap	the next day
neves	noted
kérdésben	issue
hírlevelünkre	our newsletter
szépségápolás	cosmetology
tenger	sea
újabb	another
bőven	plenty
bejelentkezve	logged in
mentek	gone
lépéseket	steps
túl	too
keretek	frames
dinamikus	dynamic
haladó	progressive
közszolgálati	Public Service
kémiai	chemical
hatályba	force
kellemetlen	unpleasant
uram	mister
mozgás	move
Debrecen	Debrecen
hadd	let me
memória	Memory
megmaradt	remaining
hirdetés	ad
tuti	definitely
szept.	September
leendő	prospective
mindenkinek	Everyone
törvényt	Law
szakasz	platoon
történhet	happen
készít	prepare
kívánok	I wish
javára	benefit
igényt	claim
híreket	news
tudna	could
utazási	travel
ellentétes	opposite
esetleg	maybe
foglalkozott	dealt with
lelkes	enthusiastic
területe	area
térség	Area
kölcsönös	mutual
szoftverek	Software
többféle	Several
javítása	Improving
vizsgált	examined
megjegyzés	comment
erők	Forces
továbbá	furthermore
mennyit	how much
kaptunk	We
képtelen	unable
vetett	cast
alapított	founded
elég	enough
akik	who
lévén	Being
kezdi	begins
szerep	role
berendezés	equipment
játékosok	Players
kormányzat	Government
processzor	processor
szép	beautiful
mindenre	everything
télen	in winter
arány	gold
fejlődése	development
érzékeny	sensitive
idővel	time
halt	died
Simon	Simon
folytatja	continues
bent	inside
számítástechnikai	computing
fed	cover
bajnoki	championship
engem	me
neked	thee
állunk	We are
verziója	version
elküldöm	Send to
kérdésed	questions
következménye	consequences
meghaladja	greater than
engedélyt	permit
programja	program
igénylő	requiring
bécsi	Viennese
nyilvánvaló	obvious
végett	In order to
idén	this year
picit	little
elterjedt	current
után	after
alábbiakban	below
államokban	States
látod	see
látszott	It seemed
épületek	buildings
Matáv	Matáv
vidám	hilarious
őszinte	honest
gyártók	Manufacturers
baleset	accident
szerelmes	in love
farkas	wolf
kivétel	exception
Bálint	Valentine
várunk	welcome
bajnok	champion
végre	finally
katona	soldier
bemutatni	presented
tárgyalások	Negotiations
választották	elected
listája	List
részvételi	participation
frissen	fresh
GSM	GSM
tényezők	factors
sorra	lines
felület	surface
írott	written
következők	follows
alkalmazás	application
visszatért	return
tudomásul	Takes
faj	race
téve	camel
elhangzott	said
termékeket	products
házi	home
automatikus	automatic
elérte	reached
komolyabb	serious
áruház	department store
tudtuk	We could
növekedése	growth
felét	half
nagyot	big
minél	more
mégiscsak	after all
rövid	short
célt	target
gyakran	often
tevékenységek	Activities
eredményeit	The results
végezte	completed
élünk	about
tanári	teacher
mindenkori	current
vallásos	religious
BSD	BSD
olvasás	reading
szóban	orally
felhasználásával	Using
Ádám	Adam
igénye	demand
előnye	benefits
bizonytalan	uncertain
ezekre	these
játszanak	play
írd	Write
települések	settlements
október	October
változást	change
Norbi	Norbert
pontban	section
Róbert	Robert
alján	at the bottom
mérete	Size
megjelölt	marked
gondolatok	Thoughts
szolgáltatások	Services
leírása	Description
érdekeit	interests
védelem	protection
szövegek	texts
derül	revealed
árát	reap
alkalom	time
közöttük	included
szintre	level
oldali	right
kommunista	Communist
évesen	At the age of
szobában	room
egykor	When a
hibák	errors
sajna	unfortunately
privát	Private
ügyvezető	manager
egyszerűbb	easier
hamarosan	shortly
elképzelhető	imaginable
Mátyás	Matthias
ily	this
szeretnéd	you want
rendszerváltás	regime change
növekszik	grow
eltűnt	disappeared
bocs	sorry
bevezetése	The introduction
enyém	mine
modellek	models
eleme	items
jelszavad	password
bíróság	court
intézkedések	actions
támadás	attack
kevesen	few
számító	calculating
tapasztalt	experienced
biztonság	security
fordítva	inversely
sorsa	The fate
építeni	build
témákat	topics
programmal	program
helyébe	replaced
hatású	effect
útra	from
elment	gone
postai	postal
vízzel	water
holott	although
várost	city
foglalkoznak	deal
neten	The Net
elkövetett	committed
miről	what
kapitány	captain
szavazást	poll
hatályos	force
szótár	dictionary
hálózatok	Networks
maradjon	stay
ilyenek	such
csatlakozási	connection
tartva	Bearing
beszélnek	speak
tölti	fill
találkozik	come across
szeretik	love
stílus	style
buli	party
nyomon	follow
szellem	spirit
képe	Picture
hagyjuk	leave
folytatta	he continued
gondoskodik	take care
fiatalabb	junior
belföldi	domestic
fejlesztési	developmental
sérült	injured
fiam	my son
fák	trees
látogatta	visited
teszem	I
balra	to the left
vonal	line
játszó	playground
felfelé	up
munkával	work
fájl	file
lakossági	Retail
maga	itself
véli	view
érdeklődők	Interested
felhasználni	used
megtekintéséhez	view
formátumban	format
nevezik	called
előre	forward
működésének	operations
híd	bridge
partján	coast
életem	life
közepette	Amidst
céllal	Relationship
végez	perform
közeljövőben	near future
alkotmányos	constitutional
ismét	again
válaszul	reply
hozták	brought
alapítvány	foundation
nemcsak	not only
hozzászólásra	add comment
MÁV	MÁV
jelezte	indicated
ingyenesen	free
figyelem	attention
hiába	in vain
szereplők	players
lapok	Sheets
kidolgozott	developed
kezdtek	started
gondolni	think about
követni	follow
nyilvánvalóan	obviously
tárgya	Object
alternatív	alternative
megjelenés	appearance
ugyancsak	likewise
maradni	stay
pesti	Pest
bírósági	judicial
rajtam	me
anyanyelvi	native
próbáltam	I tried
barátja	boyfriend
menj	go
mozog	move
fejlődő	developing
keze	hands
szöveges	text
forinttal	HUF
szembeni	to
hónappal	months
megállapított	down
benyújtott	submitted
írtak	written
meccs	match
terjedő	spreading
utólag	later
MDF	MDF
földet	land
intenzív	intense
levelek	Leaves
puszta	bare
elfogadható	acceptable
folytatódik	continue
kerüljön	be
szálloda	hotel
méteres	m
szövetsége	alliance
optikai	optical
érdeklődő	interested
letöltődik	downloaded
kezelésére	treatment
úti	travel
direkt	Direct
harci	fighting
elfogadni	adopted
szükségessé	necessary
Németországban	In Germany
ismereteket	skills
ősszel	in autumn
szilárd	solid
hoztak	have
egyebek	others
romantikus	romantic
mindezek	thereof
kevesebbet	less than
tisza	Yew
viszi	takes
parancs	command
szólnak	speak
állít	claim
felvétel	recording
hatóságok	Authorities
vasúti	railway
megszűnik	cease
társkereső	dating
csúnya	ugly
szerkezet	structure
arról	about
amihez	which
holland	Dutch
